Country,TrafficKey
Netherlands,4208
Austria,7654
Lebanon,2918
Iceland,10377
Greece,12220
Canada,8007
Belgium,14031
United Kingdom,4
Finland,14014
Germany,936
Italy,19601
Poland,9980
Sweden,7933
France,7154
Switzerland,4395
RSA,18185
Singapore,2812
Cyprus,4138
Bahrain,1869
Czech Republic,17707
Spain,2755
Malta,10833
Portugal,11369
Brazil,7204
Denmark,11284
European Community,10046
EIRE,5425
Japan,4857
USA,7442
United Arab Emirates,15124
Unspecified,12357
Lithuania,744
Norway,23094
Hong Kong,8740
Saudi Arabia,4634
Australia,21054
Channel Islands,16736
