Country,Currency,Exchange_GBP
United Kingdom,GBP,1
France,EUR,0.879662
Australia,AUD,0.498529
Netherlands,EUR,0.879662
Germany,EUR,0.879662
Norway,NOK,0.075677
EIRE,EUR,0.879662
Switzerland,CHF,0.948407
Spain,EUR,0.879662
Poland,PLN,0.207228
Portugal,EUR,0.879662
Italy,EUR,0.879662
Belgium,EUR,0.879662
Lithuania,EUR,0.879662
Japan,JPY,0.004934
Iceland,ISK,0.006085
Channel Islands,GBP,1
Denmark,DKK,0.117805
Cyprus,EUR,0.879662
Sweden,SEK,0.080632
Austria,EUR,0.879662
Finland,EUR,0.879662
Bahrain,BHD,2.024951
Greece,EUR,0.879662
Hong Kong,HKD,0.097905
Singapore,SGD,0.58483
Lebanon,LBP,8.4297E-06
United Arab Emirates,AED,0.207271
Saudi Arabia,SAR,0.202832
Czech Republic,CZK,0.036143
Canada,CAD,0.543981
Brazil,BRL,0.141591
USA,USD,0.76063
European Community,EUR,0.879662
Malta,EUR,0.879662
RSA,ZAR,0.043978
