HolidayName,Date,Description
New Year's Day,1-Jan,Marks the beginning of the new year.
Valentine's Day,14-Feb,Celebrates love and affection between partners.
International Women's Day,8-Mar,Honors women’s achievements and promotes gender equality.
St. Patrick's Day,17-Mar,Irish cultural and religious celebration honoring St. Patrick.
April Fool's Day,1-Apr,Day for playing practical jokes and spreading humor.
Easter Sunday,20-Apr,Christian holiday celebrating the resurrection of Jesus Christ. (Date varies)
Earth Day,22-Apr,Day dedicated to environmental protection and sustainability.
Mother's Day,11-May,Honors mothers and motherhood. (Second Sunday of May)
Father's Day,15-Jun,Honors fathers and fatherhood. (Third Sunday of June)
Independence Day,4-Jul,Marks U.S. independence from Great Britain.
Friendship Day,3-Aug,Celebrates the bond of friendship. (First Sunday of August)
Labor Day,1-May,Recognizes workers and labor movements worldwide.
Halloween,31-Oct,"Celebration involving costumes, trick-or-treating, and spooky themes."
Thanksgiving,27-Nov,Day of gratitude and feasting. (Fourth Thursday of November)
Black Friday,28-Nov,Shopping day following Thanksgiving.
Christmas Day,25-Dec,Christian holiday celebrating the birth of Jesus Christ.
Boxing Day,26-Dec,"Day after Christmas; celebrated in the UK, Canada, and other countries."
New Year's Eve,31-Dec,Marks the end of the calendar year.
