ProductKey,StockCode,Description,UnitPrice,Category,Supplier,Brand,LaunchDate,ReorderLevel
185,16218,CARTOON  PENCIL SHARPENERS,0.06,Misc,Cannon LLC,Levi’s,2024-10-12,146
188,16219,HOUSE SHAPE PENCIL SHARPENER,0.06,Misc,Nelson Group,Apple,2024-10-28,40
226,16259,PIECE OF CAMO STATIONERY SET,0.21,Misc,Hobbs LLC,IKEA,2025-01-02,97
278,17021,NAMASTE SWAGAT INCENSE,0.3,Misc,"Ellis, Lucas and Smith",Beats,2024-08-17,159
292,17084P,DRAGONS BLOOD INCENSE,0.43,Misc,Robinson Group,Canon,2024-11-09,59
299,17091A,LAVENDER INCENSE IN TIN,0.38,Misc,Alvarez-Sloan,HP,2023-05-25,77
302,17091J,VANILLA INCENSE IN TIN,0.38,Misc,Avila-Clark,HP,2023-01-22,106
605,20725,LUNCH BAG RED RETROSPOT,3.3,Misc,"Figueroa, Mendoza and Hall",Samsung,2023-10-09,151
748,20785,FUSCHIA RETRO BAR STOOL,35.95,Misc,Ford-Curtis,Beats,2025-06-13,95
1314,21110,LARGE CAKE TOWEL PINK SPOTS,3.38,Misc,"Clark, Kelly and Ward",Apple,2025-05-28,166
1687,21217,RED RETROSPOT ROUND CAKE TINS,8.95,Misc,Lambert Ltd,AmazonBasics,2024-01-06,124
2160,21403,BLUE EGG  SPOON,0.12,Misc,Green-Gutierrez,Beats,2022-11-10,19
2466,21527,RED RETROSPOT TRADITIONAL TEAPOT ,6.95,Kitchen,Smith-Jennings,Whirlpool,2023-11-06,18
3045,21742,LARGE ROUND WICKER PLATTER ,12.46,Misc,Cooper-Snyder,Zara,2024-11-05,132
3781,21980,PACK OF 12 RED RETROSPOT TISSUES ,0.25,Misc,"Jones, Williams and Robles",Adidas,2023-04-25,54
3898,22031,BOTANICAL LAVENDER BIRTHDAY CARD,0.43,Misc,Scott and Sons,Unilever,2024-10-30,135
4258,22111,SCOTTIE DOG HOT WATER BOTTLE,12.95,Misc,"Wolfe, Gaines and Anderson",Panasonic,2023-04-22,187
4263,22112,CHOCOLATE HOT WATER BOTTLE,11.02,Misc,"White, Rose and Hayden",Nike,2025-05-31,15
4528,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,7.65,Misc,Williams-Bishop,IKEA,2025-07-22,122
4561,22179,SET 10 LIGHTS NIGHT OWL,6.75,Lighting,Fuentes PLC,Adidas,2024-11-03,57
4585,22183,CAKE STAND VICTORIAN FILIGREE MED,6.75,Misc,"Pennington, Jensen and Gomez",Dell,2024-01-02,128
5234,22337,ANGEL DECORATION PAINTED ZINC ,1.28,Misc,Ray Inc,HP,2025-04-06,135
5664,22424,ENAMEL BREAD BIN CREAM,10.85,Misc,Castillo-Harris,H&M,2024-12-12,36
5887,22472,TV DINNER TRAY DOLLY GIRL,11.02,Misc,Rivera-Moreno,Nestle,2024-02-15,135
6482,22605,WOODEN CROQUET GARDEN SET,24.96,Misc,Huynh Inc,IKEA,2023-09-13,15
6546,22616,PACK OF 12 LONDON TISSUES ,0.2,Misc,"Oconnell, Alvarado and Beck",Zara,2024-05-13,104
6817,22666,RECIPE BOX PANTRY YELLOW DESIGN,3.2,Misc,Santana LLC,Dell,2023-01-27,134
6966,22692,DOORMAT WELCOME TO OUR HOME,8.25,Home Decor,Crosby-Berg,ASUS,2024-03-23,176
7126,22726,ALARM CLOCK BAKELIKE GREEN,3.39,Misc,"Mason, Ford and Decker",Levi’s,2024-09-18,104
7347,22761,CHEST 7 DRAWER MA CAMPAGNE,49.13,Misc,"Brown, Valenzuela and Morgan",ASUS,2023-12-13,160
7410,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2.5,Misc,"Davis, Williams and Brown",Zara,2024-05-21,75
7440,22777,GLASS BELL JAR LARGE,8.5,Misc,Serrano and Sons,Panasonic,2024-12-24,16
7485,22788,BROCANTE COAT RACK,8.5,Home Decor,Williams Inc,HP,2023-01-15,82
7719,22840,ROUND CAKE TIN VINTAGE RED,6.95,Misc,"Farrell, Luna and Carson",Puma,2025-06-04,199
7909,22887,NUMBER TILE VINTAGE FONT 8,2.17,Misc,"Quinn, Peters and Hall",Unilever,2024-08-15,109
7944,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,3.25,Kitchen,Jones Inc,Canon,2023-07-24,188
7978,22900,SET 2 TEA TOWELS I LOVE LONDON ,2.32,Kitchen,Edwards and Sons,JBL,2023-02-16,95
8113,22925,BLUE GIANT GARDEN THERMOMETER,11.63,Misc,Payne Inc,KitchenAid,2025-10-04,166
