StockCode,Description,UnitPrice,Category,Supplier,Brand,LaunchDate,ReorderLevel
10002,INFLATABLE POLITICAL GLOBE ,1.66,Misc,"Palmer, Ortega and Sullivan",Example,2023-08-25,23
10002,INFLATABLE POLITICAL GLOBE ,1.63,Misc,Walker and Sons,Show,2024-06-05,78
10002,INFLATABLE POLITICAL GLOBE ,0.85,Misc,"Wheeler, Holmes and Riggs",Space,2024-05-19,32
10080,GROOVY CACTUS INFLATABLE,0.39,Misc,Harris-Hodges,Trip,2022-11-13,114
10080,GROOVY CACTUS INFLATABLE,0.85,Misc,Thomas-Stevens,Establish,2023-03-13,78
10120,DOGGY RUBBER,0.21,Misc,"Wood, Mills and Rodriguez",Order,2023-10-24,37
10123C,HEARTS WRAPPING TAPE ,0.65,Home Decor,Hernandez-Jordan,Allow,2025-10-28,19
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,Misc,Gates-Silva,Movie,2025-04-16,107
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,Misc,"Burns, Nichols and Bowen",Picture,2022-12-15,147
10125,MINI FUNKY DESIGN TAPES,1.66,Misc,"Gibbs, Jordan and Brown",Red,2025-08-21,153
10125,MINI FUNKY DESIGN TAPES,1.63,Misc,"Golden, Ruiz and Ford",Factor,2025-02-27,95
10125,MINI FUNKY DESIGN TAPES,0.85,Misc,"Bell, Howard and Porter",Teach,2023-04-03,97
10125,MINI FUNKY DESIGN TAPES,0.81,Misc,Adams-Gonzalez,Upon,2024-09-24,23
10125,MINI FUNKY DESIGN TAPES,0.42,Misc,Horn PLC,Officer,2023-10-22,50
10125,MINI FUNKY DESIGN TAPES,0.79,Misc,"Moss, Ward and Wyatt",Family,2025-07-08,44
10133,COLOURING PENCILS BROWN TUBE,0.42,Misc,Carpenter-Cabrera,Collection,2024-12-06,96
10133,COLOURING PENCILS BROWN TUBE,1.63,Misc,"Jones, Barnes and Todd",Art,2025-08-02,153
10133,COLOURING PENCILS BROWN TUBE,0.83,Misc,"Macdonald, Smith and Roberts",Single,2025-01-18,95
10133,COLOURING PENCILS BROWN TUBE,0.79,Misc,Wood-Johnson,Rest,2023-12-30,189
10133,COLOURING PENCILS BROWN TUBE,1.66,Misc,Kennedy PLC,Step,2025-09-30,72
10133,COLOURING PENCILS BROWN TUBE,0.81,Misc,Evans-Price,Three,2023-12-10,51
10133,COLOURING PENCILS BROWN TUBE,0.85,Misc,"Smith, Miller and Hall",Create,2025-10-07,10
10135,COLOURING PENCILS BROWN TUBE,0.25,Misc,Joyce Ltd,Drug,2022-11-13,121
10135,COLOURING PENCILS BROWN TUBE,0.42,Misc,"Barrera, Thompson and Brown",Everyone,2023-03-06,32
10135,COLOURING PENCILS BROWN TUBE,1.06,Misc,"Clayton, Roberts and Kirby",Go,2023-01-10,162
10135,COLOURING PENCILS BROWN TUBE,1.25,Misc,Johnson Ltd,Now,2023-04-04,106
10135,COLOURING PENCILS BROWN TUBE,1.28,Misc,Sanchez-Rodriguez,For,2024-09-04,27
10135,COLOURING PENCILS BROWN TUBE,2.46,Misc,Weber PLC,Consider,2022-11-17,11
10135,COLOURING PENCILS BROWN TUBE,2.51,Misc,"Fernandez, Ford and Lowery",Evidence,2023-02-13,90
11001,ASSTD DESIGN RACING CAR PEN,1.69,Misc,Murray LLC,Especially,2023-08-15,197
11001,ASSTD DESIGN RACING CAR PEN,1.27,Misc,Anderson-King,Almost,2023-10-06,124
11001,ASSTD DESIGN RACING CAR PEN,3.36,Misc,Kennedy Group,Catch,2023-10-14,36
11001,ASSTD DESIGN RACING CAR PEN,0.83,Misc,Fisher LLC,Family,2024-02-18,21
11001,ASSTD DESIGN RACING CAR PEN,3.29,Misc,Miller-Alexander,Join,2024-03-02,33
15030,FAN BLACK FRAME ,0.29,Misc,Leach-Parks,Order,2023-03-17,180
15034,PAPER POCKET TRAVELING FAN ,0.83,Misc,Miller PLC,Address,2024-07-15,46
15034,PAPER POCKET TRAVELING FAN ,0.85,Misc,"Douglas, Parsons and Blair",Father,2024-03-12,42
15034,PAPER POCKET TRAVELING FAN ,0.14,Misc,Brooks-Bradley,Adult,2023-11-02,15
15034,PAPER POCKET TRAVELING FAN ,0.07,Misc,Daniels-Nguyen,Ago,2023-02-04,84
15036,ASSORTED COLOURS SILK FAN,0.65,Misc,Payne Ltd,Sport,2023-11-14,120
15036,ASSORTED COLOURS SILK FAN,1.25,Misc,"Stevens, Carroll and Brown",Send,2023-10-28,156
15036,ASSORTED COLOURS SILK FAN,0.53,Misc,Wilson-Price,Majority,2024-12-24,132
15036,ASSORTED COLOURS SILK FAN,1.28,Misc,Armstrong-Lamb,So,2023-10-29,77
15036,ASSORTED COLOURS SILK FAN,0.72,Misc,"Harris, George and Hickman",Near,2025-03-25,130
15036,ASSORTED COLOURS SILK FAN,1.63,Misc,Maxwell Ltd,Miss,2022-11-14,19
15036,ASSORTED COLOURS SILK FAN,0.83,Misc,"Mendoza, Christian and Ayers",Far,2023-11-28,88
15036,ASSORTED COLOURS SILK FAN,0.75,Misc,"Walker, Bailey and Thompson",Technology,2025-09-04,97
15039,SANDALWOOD FAN,1.63,Misc,Morgan-Campbell,Score,2023-10-12,143
15039,SANDALWOOD FAN,1.66,Misc,Gill Inc,Goal,2023-03-09,133
15039,SANDALWOOD FAN,0.85,Misc,Robertson and Sons,Whether,2025-10-11,62
15039,SANDALWOOD FAN,0.53,Misc,"Austin, Pruitt and French",Shoulder,2023-11-17,165
15044A,PINK PAPER PARASOL ,5.79,Misc,Martinez Inc,Everyone,2023-03-18,173
15044A,PINK PAPER PARASOL ,2.55,Misc,Martinez-Stewart,Energy,2025-04-05,144
15044A,PINK PAPER PARASOL ,2.95,Misc,Weaver-Santos,If,2023-12-22,154
15044B,BLUE PAPER PARASOL ,2.55,Misc,Nelson Ltd,Central,2024-01-19,90
15044B,BLUE PAPER PARASOL ,2.95,Misc,Gordon LLC,Contain,2024-04-06,13
15044B,BLUE PAPER PARASOL ,5.79,Misc,Brown Group,His,2023-04-05,111
15044B,BLUE PAPER PARASOL ,5.91,Misc,"Waters, Hamilton and Harris",Suddenly,2023-02-07,175
15044C,PURPLE PAPER PARASOL,5.79,Misc,Mcgee LLC,Letter,2023-09-09,141
15044C,PURPLE PAPER PARASOL,2.95,Misc,Walker Group,Red,2023-11-07,121
15044C,PURPLE PAPER PARASOL,5.91,Misc,Romero-Martin,Student,2025-03-28,185
15044C,PURPLE PAPER PARASOL,2.55,Misc,Mercado LLC,Director,2023-08-16,147
15044D,RED PAPER PARASOL,2.55,Misc,"Thomas, Bradley and Jones",Tv,2023-06-28,173
15044D,RED PAPER PARASOL,2.95,Misc,Palmer-Henry,Manage,2023-03-03,180
15044D,RED PAPER PARASOL,5.91,Misc,Esparza-Townsend,Care,2024-02-29,162
15044D,RED PAPER PARASOL,5.79,Misc,Harrell Ltd,Measure,2023-12-03,134
15056BL,EDWARDIAN PARASOL BLACK,12.72,Misc,Mcdaniel PLC,Quite,2022-11-06,143
15056BL,EDWARDIAN PARASOL BLACK,4.95,Misc,Butler Group,Trial,2024-10-27,181
15056BL,EDWARDIAN PARASOL BLACK,5.95,Misc,Ross-Garcia,Eat,2025-04-05,117
15056BL,EDWARDIAN PARASOL BLACK,1.95,Misc,"Dixon, Hernandez and Houston",Suddenly,2023-08-05,105
15056BL,EDWARDIAN PARASOL BLACK,12.46,Misc,Morales-Moore,Challenge,2023-11-19,140
15056BL,EDWARDIAN PARASOL BLACK,4.25,Misc,"Bowers, Jordan and Smith",Law,2023-04-17,18
15056N,EDWARDIAN PARASOL NATURAL,1.95,Misc,"Pope, Jacobs and Parks",Season,2024-09-04,175
15056N,EDWARDIAN PARASOL NATURAL,4.25,Misc,"Brown, Martin and Hughes",Sort,2023-01-30,56
15056N,EDWARDIAN PARASOL NATURAL,12.72,Misc,"Phillips, Hall and Mcguire",Among,2025-07-14,195
15056N,EDWARDIAN PARASOL NATURAL,12.46,Misc,"Pena, Cherry and Francis",Many,2024-09-23,31
15056N,EDWARDIAN PARASOL NATURAL,4.95,Misc,Swanson-Allison,What,2023-03-06,134
15056N,EDWARDIAN PARASOL NATURAL,5.95,Misc,"Baker, Gates and Hansen",Above,2025-05-28,178
15056P,EDWARDIAN PARASOL PINK,12.72,Misc,Zimmerman-Wilson,Truth,2023-09-21,77
15056P,EDWARDIAN PARASOL PINK,4.6,Misc,Travis LLC,Age,2023-04-02,53
15056P,EDWARDIAN PARASOL PINK,4.65,Misc,"Davis, Mcdaniel and Allen",Evidence,2023-11-15,95
15056P,EDWARDIAN PARASOL PINK,4.95,Misc,"Sanchez, Brown and Young",Middle,2023-08-02,96
15056P,EDWARDIAN PARASOL PINK,5.95,Misc,Hancock-Rodriguez,Speak,2023-08-05,151
15056P,EDWARDIAN PARASOL PINK,12.46,Misc,Edwards Ltd,Another,2025-02-27,110
15056bl,EDWARDIAN PARASOL BLACK,12.46,Misc,Rivera LLC,Be,2024-07-17,28
15056bl,EDWARDIAN PARASOL BLACK,12.72,Misc,Robinson and Sons,Machine,2024-06-30,195
15056n,EDWARDIAN PARASOL NATURAL,12.46,Misc,"Mason, Garcia and Cain",Side,2024-09-03,126
15056n,EDWARDIAN PARASOL NATURAL,12.72,Misc,Evans-Erickson,Minute,2023-09-27,109
15056p,EDWARDIAN PARASOL PINK,12.72,Misc,"Hall, Lee and Foley",Soon,2025-01-17,156
15056p,EDWARDIAN PARASOL PINK,12.46,Misc,Ramirez-Gill,Produce,2024-02-17,96
15058A,BLUE POLKADOT GARDEN PARASOL,6.75,Misc,Pace PLC,Service,2023-12-30,14
15058A,BLUE POLKADOT GARDEN PARASOL,24.96,Misc,Torres-Williams,Board,2024-10-22,58
15058A,BLUE POLKADOT GARDEN PARASOL,10.79,Misc,"Snyder, Caldwell and Francis",Near,2024-04-15,160
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,Misc,"Cruz, Howe and Campbell",Determine,2023-10-07,32
15058B,PINK POLKADOT GARDEN PARASOL,24.96,Misc,Acosta Ltd,Me,2023-12-17,170
15058B,PINK POLKADOT GARDEN PARASOL,7.95,Misc,Mason-Martinez,Most,2025-09-03,103
15058B,PINK POLKADOT GARDEN PARASOL,10.79,Misc,Simpson-Edwards,These,2024-06-14,13
15058B,PINK POLKADOT GARDEN PARASOL,3.95,Misc,Owen-Gardner,Computer,2024-12-29,100
15058B,PINK POLKADOT GARDEN PARASOL,6.75,Misc,"Hinton, Kennedy and Jones",Simple,2023-01-08,68
15058C,ICE CREAM DESIGN GARDEN PARASOL,7.95,Misc,Daniels-Garrett,Lot,2025-09-02,113
15058C,ICE CREAM DESIGN GARDEN PARASOL,24.96,Misc,"Haas, West and West",Summer,2025-02-11,146
15058C,ICE CREAM DESIGN GARDEN PARASOL,10.79,Misc,Peck-Erickson,Institution,2025-01-26,138
15058C,ICE CREAM DESIGN GARDEN PARASOL,3.95,Misc,Bell and Sons,Citizen,2023-12-22,195
15060B,FAIRY CAKE DESIGN UMBRELLA,2.95,Misc,"Fischer, Velasquez and Vasquez",Bill,2025-02-17,25
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,Misc,Hanson-Bishop,Minute,2023-11-07,173
