InvoiceNo,ShipmentDate,DeliveryDate,Courier,ShippingCost,Status
536365,2010-12-03,2010-12-04,Royal Mail,4.92,Delivered
536366,2010-12-01,2010-12-07,Royal Mail,3.5,Delivered
536367,2010-12-03,2010-12-09,Hermes,6.79,Delivered
536368,2010-12-01,2010-12-02,DHL,6.09,Delivered
536369,2010-12-01,2010-12-06,Hermes,6.31,Delivered
536370,2010-12-03,2010-12-09,Hermes,5.22,Delivered
536371,2010-12-02,2010-12-04,UPS,1.92,Delivered
536372,2010-12-01,2010-12-08,DHL,3.06,Delivered
536373,2010-12-03,2010-12-07,FedEx,4.76,Delivered
536374,2010-12-02,2010-12-03,Royal Mail,6.37,Delivered
536375,2010-12-02,2010-12-03,FedEx,6.56,Delivered
536376,2010-12-01,2010-12-07,UPS,2.77,Delivered
536377,2010-12-03,2010-12-04,UPS,6.47,Delivered
536378,2010-12-03,2010-12-08,FedEx,5.79,Delivered
536380,2010-12-03,2010-12-05,Royal Mail,6.38,Delivered
536381,2010-12-02,2010-12-03,DHL,5.41,Delivered
C536379,2010-12-01,2010-12-05,FedEx,1.37,Delivered
536382,2010-12-01,2010-12-04,FedEx,6.09,Delivered
C536383,2010-12-01,2010-12-07,FedEx,4.1,Delivered
536384,2010-12-01,2010-12-06,DHL,2.1,Delivered
536385,2010-12-03,2010-12-09,DHL,6.01,Delivered
536386,2010-12-03,2010-12-09,Hermes,6.67,Delivered
536387,2010-12-01,2010-12-07,FedEx,6.91,Delivered
536388,2010-12-01,2010-12-08,Royal Mail,2.11,Delivered
536389,2010-12-02,2010-12-06,FedEx,9.04,Delivered
536390,2010-12-03,2010-12-09,FedEx,6.79,Delivered
C536391,2010-12-01,2010-12-07,UPS,1.48,Delivered
536392,2010-12-02,2010-12-04,FedEx,7.7,Delivered
536393,2010-12-01,2010-12-03,Hermes,1.78,Delivered
536394,2010-12-02,2010-12-07,UPS,4.2,Delivered
536395,2010-12-02,2010-12-04,DHL,4.13,Delivered
536396,2010-12-01,2010-12-08,Royal Mail,4.95,Delivered
536397,2010-12-01,2010-12-07,DHL,5.55,Delivered
536398,2010-12-01,2010-12-05,UPS,2.98,Delivered
536399,2010-12-03,2010-12-07,Hermes,4.98,Delivered
536400,2010-12-01,2010-12-07,Royal Mail,7.54,Delivered
536401,2010-12-03,2010-12-08,FedEx,5.21,Delivered
536402,2010-12-02,2010-12-06,DHL,3.19,Delivered
536403,2010-12-02,2010-12-03,FedEx,8.34,Delivered
536404,2010-12-03,2010-12-04,FedEx,4.4,Delivered
536405,2010-12-03,2010-12-08,Hermes,5.61,Delivered
536406,2010-12-01,2010-12-06,Hermes,6.84,Delivered
536407,2010-12-01,2010-12-06,FedEx,4.03,Delivered
536408,2010-12-02,2010-12-09,FedEx,5.07,Delivered
536409,2010-12-01,2010-12-02,DHL,8.49,Delivered
536412,2010-12-01,2010-12-07,UPS,1.64,Delivered
536414,2010-12-01,2010-12-08,Hermes,5.1,Delivered
536415,2010-12-02,2010-12-07,DHL,3.96,Delivered
536416,2010-12-02,2010-12-07,Hermes,3.78,Delivered
536420,2010-12-03,2010-12-10,DHL,5.64,Delivered
536423,2010-12-03,2010-12-06,UPS,7.9,Delivered
536425,2010-12-02,2010-12-07,UPS,4.91,Delivered
536437,2010-12-01,2010-12-03,DHL,5.38,Delivered
536446,2010-12-03,2010-12-05,Hermes,5.16,Delivered
536460,2010-12-01,2010-12-02,Royal Mail,4.82,Delivered
536463,2010-12-01,2010-12-02,FedEx,4.33,Delivered
536464,2010-12-01,2010-12-06,DHL,4.59,Delivered
536466,2010-12-03,2010-12-05,Hermes,7.27,Delivered
536477,2010-12-03,2010-12-07,DHL,5.78,Delivered
536488,2010-12-01,2010-12-02,Royal Mail,1.45,Delivered
536500,2010-12-03,2010-12-07,FedEx,3.01,Delivered
536502,2010-12-03,2010-12-04,Royal Mail,6.04,Delivered
536508,2010-12-01,2010-12-05,FedEx,5.3,Delivered
C536506,2010-12-01,2010-12-03,Hermes,4.09,Delivered
536514,2010-12-02,2010-12-04,UPS,5.9,Delivered
536520,2010-12-01,2010-12-05,Hermes,7.04,Delivered
536521,2010-12-01,2010-12-02,Hermes,7.71,Delivered
536522,2010-12-01,2010-12-03,UPS,0.48,Delivered
536523,2010-12-02,2010-12-06,DHL,7.85,Delivered
536524,2010-12-01,2010-12-05,Royal Mail,1.76,Delivered
536525,2010-12-02,2010-12-05,UPS,4.32,Delivered
536526,2010-12-03,2010-12-10,Hermes,8.01,Delivered
536527,2010-12-03,2010-12-09,UPS,5.94,Delivered
536528,2010-12-01,2010-12-06,Hermes,6.39,Delivered
536529,2010-12-01,2010-12-07,FedEx,7.48,Delivered
536530,2010-12-03,2010-12-10,Hermes,5.93,Delivered
536531,2010-12-01,2010-12-02,Hermes,6.12,Delivered
536532,2010-12-03,2010-12-04,DHL,5.62,Delivered
536533,2010-12-02,2010-12-03,Hermes,5.06,Delivered
536534,2010-12-03,2010-12-04,UPS,7.69,Delivered
536535,2010-12-03,2010-12-08,Hermes,0.38,Delivered
536536,2010-12-01,2010-12-07,FedEx,4.33,Delivered
536537,2010-12-01,2010-12-04,UPS,6.96,Delivered
536538,2010-12-02,2010-12-05,Royal Mail,7.11,Delivered
536539,2010-12-01,2010-12-05,Hermes,11.66,Delivered
536540,2010-12-01,2010-12-06,DHL,4.94,Delivered
536541,2010-12-03,2010-12-06,DHL,8.77,Delivered
536542,2010-12-01,2010-12-04,FedEx,3.32,Delivered
C536543,2010-12-01,2010-12-05,Hermes,4.21,Delivered
536544,2010-12-03,2010-12-08,Royal Mail,2.37,Delivered
536545,2010-12-03,2010-12-10,Hermes,4.1,Delivered
536546,2010-12-01,2010-12-04,Royal Mail,7.81,Delivered
536547,2010-12-01,2010-12-07,Hermes,5.91,Delivered
C536548,2010-12-01,2010-12-07,FedEx,6.35,Delivered
536549,2010-12-01,2010-12-07,FedEx,3.48,Delivered
