Date,Country,PageViews,UniqueVisitors,AvgSessionDuration
2010-12-01,United Kingdom,1823,1026,1.38
2010-12-01,United Kingdom,1610,1224,1.13
2010-12-01,United Kingdom,799,591,1.56
2010-12-01,United Kingdom,1337,715,2.17
2010-12-01,France,1501,862,1.31
2010-12-01,United Kingdom,1546,987,1.24
2010-12-01,United Kingdom,1151,877,1.32
2010-12-01,United Kingdom,2299,1050,3.77
2010-12-01,United Kingdom,3244,2041,1.93
2010-12-01,United Kingdom,1734,1274,3.69
2010-12-01,United Kingdom,702,338,3.13
2010-12-01,United Kingdom,2697,1647,3.83
2010-12-01,United Kingdom,1178,833,2.79
2010-12-01,United Kingdom,2239,1508,3.23
2010-12-01,United Kingdom,659,391,3.34
2010-12-01,United Kingdom,100,54,1.11
2010-12-01,United Kingdom,1513,1101,4.2
2010-12-01,United Kingdom,993,658,1.6
2010-12-01,United Kingdom,1086,466,2.6
2010-12-01,United Kingdom,2181,1372,2.18
2010-12-01,Australia,1628,1060,1.04
2010-12-01,United Kingdom,1818,983,1.8
2010-12-01,United Kingdom,242,184,3.24
2010-12-01,United Kingdom,1243,990,4.37
2010-12-01,United Kingdom,1100,652,1.62
2010-12-01,United Kingdom,1074,855,2.56
2010-12-01,United Kingdom,1502,681,1.68
2010-12-01,United Kingdom,1259,632,2.23
2010-12-01,United Kingdom,1382,785,1.38
2010-12-01,United Kingdom,2345,996,2.24
2010-12-01,United Kingdom,2223,896,2.88
2010-12-01,United Kingdom,1951,837,3.43
2010-12-01,Netherlands,100,50,2.65
2010-12-01,United Kingdom,2816,1972,2.17
2010-12-01,United Kingdom,838,660,4.09
2010-12-01,United Kingdom,2430,1379,3.51
2010-12-01,United Kingdom,1167,576,1.27
2010-12-01,United Kingdom,803,603,1.2
2010-12-01,United Kingdom,513,235,3.3
2010-12-01,United Kingdom,1383,1059,3.72
2010-12-01,United Kingdom,1180,932,2.81
2010-12-01,United Kingdom,1766,1151,3.81
2010-12-01,United Kingdom,1283,583,3.34
2010-12-01,United Kingdom,1687,910,4.05
2010-12-01,United Kingdom,1361,908,2.06
2010-12-01,United Kingdom,100,71,1.1
2010-12-01,United Kingdom,100,60,1.48
2010-12-01,United Kingdom,1280,768,2.91
2010-12-01,United Kingdom,348,186,1.95
2010-12-01,United Kingdom,2741,1651,1.71
2010-12-01,United Kingdom,1147,889,1.28
2010-12-01,United Kingdom,2224,1064,1.7
2010-12-01,United Kingdom,3182,1519,2.98
2010-12-01,United Kingdom,1449,628,2.11
2010-12-01,United Kingdom,961,741,3.83
2010-12-01,United Kingdom,2335,1432,3.75
2010-12-01,United Kingdom,210,149,1.9
2010-12-01,United Kingdom,1630,1194,3.02
2010-12-01,United Kingdom,699,342,2.75
2010-12-01,United Kingdom,1569,706,3.22
2010-12-01,United Kingdom,2635,1696,2.73
2010-12-01,United Kingdom,656,444,1.43
2010-12-01,Germany,3005,1636,3.34
2010-12-01,United Kingdom,2014,1144,2.26
2010-12-01,United Kingdom,1593,1117,3.87
2010-12-01,United Kingdom,772,364,4.42
2010-12-01,United Kingdom,2265,1359,3.9
2010-12-01,Norway,1816,853,2.96
2010-12-01,United Kingdom,276,123,1.93
2010-12-01,United Kingdom,2827,2057,2.13
2010-12-01,United Kingdom,1744,968,1.38
2010-12-01,United Kingdom,1410,887,4.37
2010-12-01,United Kingdom,977,494,2.54
2010-12-01,United Kingdom,2529,1589,1.87
2010-12-01,United Kingdom,1155,880,1.96
2010-12-01,EIRE,621,485,1.64
2010-12-01,United Kingdom,2666,1848,2.67
2010-12-01,United Kingdom,1646,686,4.49
2010-12-01,United Kingdom,2518,1905,1.77
2010-12-01,United Kingdom,2756,2054,2.62
2010-12-01,Germany,2850,2022,2.01
2010-12-01,United Kingdom,513,324,4.43
2010-12-01,United Kingdom,1160,783,1.22
2010-12-01,United Kingdom,2214,1109,1.59
2010-12-01,United Kingdom,772,496,2.74
2010-12-01,United Kingdom,1923,895,1.16
2010-12-01,United Kingdom,157,121,3.94
2010-12-01,United Kingdom,1289,671,4.03
2010-12-01,United Kingdom,861,376,2.55
2010-12-01,United Kingdom,1632,1008,1.98
2010-12-01,United Kingdom,2141,914,4.29
2010-12-01,United Kingdom,3291,1851,3.77
2010-12-01,United Kingdom,2296,1617,2.53
2010-12-01,United Kingdom,2167,1175,2.73
2010-12-01,United Kingdom,1688,838,1.13
2010-12-01,United Kingdom,2018,1541,1.26
2010-12-01,United Kingdom,1606,1063,2.91
2010-12-01,United Kingdom,1447,603,4.3
2010-12-01,United Kingdom,1301,747,2.02
2010-12-01,United Kingdom,100,47,1.39
2010-12-01,United Kingdom,791,383,1.09
2010-12-01,United Kingdom,193,105,1.54
2010-12-01,United Kingdom,1588,1055,2.52
2010-12-01,United Kingdom,2059,1285,2.37
2010-12-01,United Kingdom,2432,1014,1.49
2010-12-01,United Kingdom,1403,971,4.19
2010-12-01,United Kingdom,2124,1582,2.93
2010-12-01,United Kingdom,2131,867,2.82
2010-12-01,United Kingdom,1366,1058,1.37
2010-12-01,United Kingdom,2037,1490,3.64
2010-12-01,United Kingdom,908,393,3.34
2010-12-01,United Kingdom,1109,869,1.63
