ExchangeKey,Country,Currency,Exchange_GBP
11,Saudi Arabia,SAR,0.202832
24,Italy,EUR,0.879662
28,Austria,EUR,0.879662
3,Iceland,ISK,0.006085
7,Sweden,SEK,0.080632
34,United Kingdom,GBP,1.0
13,United Arab Emirates,AED,0.207271
25,Belgium,EUR,0.879662
10,Brazil,BRL,0.141591
20,Germany,EUR,0.879662
26,Lithuania,EUR,0.879662
31,European Community,EUR,0.879662
6,Norway,NOK,0.075677
14,Australia,AUD,0.498529
2,Japan,JPY,0.004934
4,Czech Republic,CZK,0.036143
29,Finland,EUR,0.879662
12,Poland,PLN,0.207228
30,Greece,EUR,0.879662
5,RSA,ZAR,0.043978
15,Canada,CAD,0.543981
21,EIRE,EUR,0.879662
27,Cyprus,EUR,0.879662
36,Bahrain,BHD,2.024951
1,Lebanon,LBP,8.4297e-06
18,France,EUR,0.879662
23,Portugal,EUR,0.879662
33,Switzerland,CHF,0.948407
9,Denmark,DKK,0.117805
8,Hong Kong,HKD,0.097905
35,Channel Islands,GBP,1.0
32,Malta,EUR,0.879662
19,Netherlands,EUR,0.879662
16,Singapore,SGD,0.58483
22,Spain,EUR,0.879662
17,USA,USD,0.76063
