HolidayKey,HolidayName,Date,Description
12,Boxing Day,26-Dec,"Day after Christmas; celebrated in the UK, Canada, and other countries."
3,New Year's Eve,31-Dec,Marks the end of the calendar year.
7,Thanksgiving,27-Nov,Day of gratitude and feasting. (Fourth Thursday of November)
16,Labor Day,1-May,Recognizes workers and labor movements worldwide.
2,April Fool's Day,1-Apr,Day for playing practical jokes and spreading humor.
10,St. Patrick's Day,17-Mar,Irish cultural and religious celebration honoring St. Patrick.
1,Mother's Day,11-May,Honors mothers and motherhood. (Second Sunday of May)
18,Valentine's Day,14-Feb,Celebrates love and affection between partners.
9,Earth Day,22-Apr,Day dedicated to environmental protection and sustainability.
13,Friendship Day,3-Aug,Celebrates the bond of friendship. (First Sunday of August)
5,Christmas Day,25-Dec,Christian holiday celebrating the birth of Jesus Christ.
15,Easter Sunday,20-Apr,Christian holiday celebrating the resurrection of Jesus Christ. (Date varies)
4,International Women's Day,8-Mar,Honors women’s achievements and promotes gender equality.
17,Black Friday,28-Nov,Shopping day following Thanksgiving.
8,Father's Day,15-Jun,Honors fathers and fatherhood. (Third Sunday of June)
11,Halloween,31-Oct,"Celebration involving costumes, trick-or-treating, and spooky themes."
6,New Year's Day,1-Jan,Marks the beginning of the new year.
14,Independence Day,4-Jul,Marks U.S. independence from Great Britain.
